項次,料品編號,品名,單 位 數 量
,,,〝P〞TYPE
1,400198,C型扣環<R-47>,1
2,405563,滾珠軸承<60052RS>,1
3,404488,油封<Ø25×Ø40×8t>,2
4,400993,雙頭圓鍵<18×12×80L>,1
5,205320,傳動軸,1
6,207041,法蘭,1
7,400935,油封<Ø65×Ø90×13t>,1
8,400826,滾珠軸承<6212 Z>,1
9,400916,C型扣環<R-110>,1
10,205391,第一齒輪,1
11,205420,第四齒輪套管<Ø70×Ø50.5×18L >,1
12,200265,第四齒輪,1
13,400197,C型扣環<S-50>,1
14,400170,針軸承<NK 25/16>,1
15,400135,滾珠軸承<6303>,1
16,402591,齒輪箱襯墊<48#>,1
17,407454,平行銷<Ø8×15L>,3
18,400095,彈簧華司<M8>,10
19,400013,窩頭螺絲<M8×1.25×25L>,10
20,400591,管螺紋<3/8” PT>,1
21,400008,窩頭螺絲<M6×1.0×25L>,6
22,407736,滾珠軸承<6205>,2
23,205394,第三齒輪,1
24,400975,雙頭圓鍵<10×10×25L>,1
25,205393,第二齒輪,1
26,400193,C型扣環<S-30>,1
27,400594,油蓋<7/8”×14UNF>,1
28,205600,齒輪箱,1
